"id","name","code","user_type_id/id","note","chart_template_id/id","nocreate","reconcile"
"chartgr_14_19","Λοιπόςεξοπλισμόςεκτόςεκμετάλλευσης","14.19","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_90","ΈπιπλακαιλοιπόςεξοπλισμόςστοΟΔΔΥγιαεκποίηση","14.90","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_99_00","Αποσβεσμέναέπιπλα ","14.99.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_99_01","Αποσβεσμένασκεύη","14.99.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_14_99_02","Αποσβεσμένεςμηχανέςγραφείου","14.99.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_01","Κτίρια-Εγκαταστάσειςκτιρίων-τεχνικάέργαυπόεκτέλεση","15.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_02","Μηχανήματα-Τεχνικέςεγκατ/σεις-Λοιπόςμηχ/κοςεξοπλισμόςυπόεκτέλεση","15.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_03","Μεταφορικάμέσαυπόεκτέλεση","15.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_04","Έπιπλακαιλοιπόςεξοπλισμόςυπόεκτέλεση","15.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_15_09","Προκαταβολέςκτήσηςπαγίων","15.09","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_00","Υπεραξίαεπιχείρησης(GOODWILL)","16.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_01_00","Διπλώματαευρεσιτεχνίας","16.01.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_01_01","Άδειεςπαραγωγήςκαιεκμετάλλευσης(LICENCES)","16.01.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_01_02","Σήματα","16.01.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_01_03","Μέθοδοι","16.01.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_01_04","Πρότυπα(KNOWHOW)","16.01.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_01_05","Σχέδια","16.01.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_02","Δικαιώματα(παραχωρήσειςκλπ)εκμετάλλευσειςορυχείων-μεταλλείων-λατομείων","16.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_03","Λοιπέςπαραχωρήσεις","16.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_04","Δικαιώματαχρήσηςενσώματωνπαγίωνστοιχείων","16.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_05","Λοιπάδικαιώματα","16.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_10","Έξοδαίδρυσηςπρώτηςεγκατάστασης","16.10","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_11","Έξοδαερευνώνορυχείων-μεταλλείων-λατομείων","16.11","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_12","Έξοδαλοιπώνερευνών","16.12","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_13","Έξοδααύξησηςκεφαλαίουκαιέκδοσηςομολογιακώνδανείων","16.13","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_14","Έξοδακτήσηςακινητοποιήσεων","16.14","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_15","Συναλλαγματικέςδιαφορέςαπόπιστώσειςκαιδάνειαγιακτήσειςπάγιωνστοιχείων","16.15","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_16","Διαφορέςέκδοσηςκαιεξόφλησηςομολογιών","16.16","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_17","Έξοδααναδιοργάνωσης","16.17","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_18","Τόκοιδανείωνκατασκευαστικήςπεριόδου","16.18","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_19","Λοιπάέξοδαπολυετούςαπόσβεσης","16.19","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_90","Έξοδαμετεγκατάστασηςεπιχειρήσεως","16.90","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_98","Προκαταβολέςκτήσηςασώματωνακινητοποίησεων","16.98","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_99_00","Αποσβεσμένηυπεραξίαεπιχείρησης","16.99.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_99_01","Αποσβεσμέναδικαιώματαβιομηχανικήςιδιοκτησίας","16.99.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_16_99_02","Αποσβ.δικαιώματα(παραχωρήσεις)εκμετάλλευσηςορυχείων,μεταλλείων,λατομείων","16.99.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_00","ΜετοχέςεισαγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.00.00","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_01","ΜετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.00.01","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_02","ΑνεξόφλητεςμετοχέςεισαγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.00.02","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_03","ΑνεξόφλητεςμετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεσωτερικού","18.00.03","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_04","ΜετοχέςεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.00.04","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_05","ΜετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.00.05","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_06","ΑνεξόφλητεςμετοχέςεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.00.06","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_07","ΑνεξόφλητεςμετοχέςμηεισαγμένεςστοΧρηματιστήριοεταιριώνεξωτερικού","18.00.07","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
"chartgr_18_00_08","Συμμετοχέςσελοιπές(πληνΑΕ)επιχειρήσειςεσωτερικού","18.00.08","account.data_account_type_current_assets","","l10n_gr.l10n_gr_chart_template","False","False"
